File,Line,Column,Severity,Rule ID,Message
"app.js",112,44,Warning,no-unused-vars,"'request' is defined but never used."
"app.js",112,53,Warning,no-unused-vars,"'response' is defined but never used."
"app.js",141,33,Warning,no-unused-vars,"'reasonCode' is defined but never used."
"app.js",141,45,Warning,no-unused-vars,"'description' is defined but never used."
"app.js",150,56,Warning,no-unused-vars,"'row' is defined but never used."
"scripts/clients-handlers.js",32,165,Warning,no-unused-vars,"'rows' is defined but never used."
"scripts/clients-handlers.js",48,65,Warning,no-unused-vars,"'rows' is defined but never used."
"scripts/clients-handlers.js",64,148,Warning,no-unused-vars,"'rows' is defined but never used."
"scripts/globalHandlers.js",2,7,Warning,no-unused-vars,"'mysql' is assigned a value but never used."
"scripts/globalHandlers.js",3,7,Warning,no-unused-vars,"'options' is assigned a value but never used."
"scripts/jobs-handlers.js",130,60,Warning,no-unused-vars,"'rows' is defined but never used."
"scripts/jobs-handlers.js",175,220,Warning,no-unused-vars,"'rows' is defined but never used."
"scripts/jobs-handlers.js",192,70,Warning,no-unused-vars,"'rows' is defined but never used."
"scripts/jobs-handlers.js",213,147,Warning,no-unused-vars,"'results' is defined but never used."
"scripts/users-handlers.js",32,150,Warning,no-unused-vars,"'rows' is defined but never used."
"scripts/users-handlers.js",48,121,Warning,no-unused-vars,"'rows' is defined but never used."
"scripts/users-handlers.js",64,65,Warning,no-unused-vars,"'rows' is defined but never used."
"www/scripts/clients.js",86,24,Error,no-undef,"'Client' is not defined."
"www/scripts/clients.js",134,47,Warning,no-unused-vars,"'e' is defined but never used."
"www/scripts/clients.js",152,54,Warning,no-unused-vars,"'e' is defined but never used."
"www/scripts/clients.js",162,58,Warning,no-unused-vars,"'e' is defined but never used."
"www/scripts/clients.js",190,24,Error,no-undef,"'Client' is not defined."
"www/scripts/clients.js",294,62,Warning,no-unused-vars,"'_' is defined but never used."
"www/scripts/clients.js",294,65,Warning,no-unused-vars,"'__' is defined but never used."
"www/scripts/clients.js",310,62,Warning,no-unused-vars,"'_' is defined but never used."
"www/scripts/clients.js",310,65,Warning,no-unused-vars,"'__' is defined but never used."
"www/scripts/clients.js",334,13,Error,no-undef,"'saveClientsLocalStorage' is not defined."
"www/scripts/clients.js",341,29,Error,no-undef,"'getClientsLocalStorage' is not defined."
"www/scripts/helper.js",60,10,Warning,no-unused-vars,"'getBrowser' is defined but never used."
"www/scripts/helper.js",69,7,Warning,no-unused-vars,"'Client' is defined but never used."
"www/scripts/helper.js",80,7,Warning,no-unused-vars,"'User' is defined but never used."
"www/scripts/helper.js",91,7,Warning,no-unused-vars,"'JobInfo' is defined but never used."
"www/scripts/helper.js",110,7,Warning,no-unused-vars,"'JobTyperequest' is defined but never used."
"www/scripts/helper.js",195,10,Warning,no-unused-vars,"'getClientsLocalStorage' is defined but never used."
"www/scripts/helper.js",223,10,Warning,no-unused-vars,"'getUsersLocalStorage' is defined but never used."
"www/scripts/helper.js",251,10,Warning,no-unused-vars,"'getUserJobsLocalStorage' is defined but never used."
"www/scripts/helper.js",402,10,Warning,no-unused-vars,"'switchUserMessaging' is defined but never used."
"www/scripts/home.js",437,58,Warning,no-unused-vars,"'_' is defined but never used."
"www/scripts/home.js",437,61,Warning,no-unused-vars,"'settings' is defined but never used."
"www/scripts/home.js",487,19,Error,no-undef,"'JobInfo' is not defined."
"www/scripts/home.js",488,18,Error,no-undef,"'userDetails' is not defined."
"www/scripts/home.js",523,19,Error,no-undef,"'JobInfo' is not defined."
"www/scripts/home.js",544,18,Error,no-undef,"'userDetails' is not defined."
"www/scripts/home.js",571,16,Error,no-undef,"'JobTyperequest' is not defined."
"www/scripts/home.js",571,57,Error,no-undef,"'userDetails' is not defined."
"www/scripts/home.js",730,13,Error,no-undef,"'saveUserJobsLocalStorage' is not defined."
"www/scripts/home.js",737,26,Error,no-undef,"'getUserJobsLocalStorage' is not defined."
"www/scripts/login.js",3,5,Error,no-undef,"'resetLocalStorage' is not defined."
"www/scripts/login.js",11,9,Error,no-undef,"'getBrowser' is not defined."
"www/scripts/login.js",64,13,Error,no-undef,"'SaveUserDetails' is not defined."
"www/scripts/users.js",100,62,Warning,no-unused-vars,"'_' is defined but never used."
"www/scripts/users.js",100,65,Warning,no-unused-vars,"'__' is defined but never used."
"www/scripts/users.js",102,29,Error,no-undef,"'userDetails' is not defined."
"www/scripts/users.js",203,22,Error,no-undef,"'User' is not defined."
"www/scripts/users.js",247,47,Warning,no-unused-vars,"'e' is defined but never used."
"www/scripts/users.js",265,54,Warning,no-unused-vars,"'e' is defined but never used."
"www/scripts/users.js",275,58,Warning,no-unused-vars,"'e' is defined but never used."
"www/scripts/users.js",319,22,Error,no-undef,"'User' is not defined."
"www/scripts/users.js",364,13,Error,no-undef,"'saveUsersLocalStorage' is not defined."
"www/scripts/users.js",371,27,Error,no-undef,"'getUsersLocalStorage' is not defined."